"ID","name","dba","business_type","phone","email","itin","address","address_ext","city","state","zip","country","owner_name","owner_email"
"1","Collier-Kihn","and Sons","single_member_llc","1-430-902-0588","gerhold.garry@example.com","100743786","84600 Feil Forges","Apt. 291","Lake Janelle","ND","97045","Turkmenistan","Mr. Ricardo Bogisich","lhuels@example.org"
"2","Ernser-Weber","Ltd","sole_proprietorship","+1.380.533.0483","edwina.rippin@example.net","592634677","7559 Julie Avenue","Apt. 188","South Sabrinahaven","NJ","87258","Ethiopia","Rebekah Schulist","pfannerstill.janie@example.net"
"3","Rippin Inc","PLC","limited_liability_company","+1-531-501-6784","richie98@example.net","515500258","5867 Liza Port Suite 531","Suite 056","East Shayleestad","NV","73374-7638","Madagascar","Mack Funk","jacobi.jason@example.org"
"4","Tillman-Padberg","Inc","corporation","+1-754-539-5002","jana06@example.net","864638721","2333 Runte Roads Suite 424","Suite 184","Port Neal","TN","77836","Gibraltar","Alisha Wehner DVM","kkuhn@example.net"
"5","Welch and Sons","Ltd","limited_liability_company","775.365.1015","kassulke.alexandrea@example.com","030504340","46390 Friesen Well","Suite 840","Lake Barbara","NV","80125-8556","Saint Martin","Camila Nicolas Sr.","shields.mollie@example.org"
"6","Kessler-Greenholt","Ltd","single_member_llc","934-930-5623","pstamm@example.com","321335110","58513 Leannon Locks Apt. 120","Apt. 408","Schowalterfurt","ID","53747-1072","Benin","Prof. Doug Gottlieb","margarita62@example.net"
"7","Hirthe, Schmeler and Gleichner","and Sons","sole_proprietorship","1-757-700-2475","vickie.mclaughlin@example.net","602600259","5159 Jaycee Vista","Apt. 148","Kozeyhaven","RI","74229-7531","Zambia","Albina Cummerata","stella.west@example.com"
"8","Kerluke LLC","and Sons","limited_liability_company","+1-785-985-5232","kweimann@example.org","789591577","248 Geovany Cliffs","Apt. 807","Miaview","MS","59796","Anguilla","Antonetta Morissette","zcruickshank@example.org"
"9","Tremblay-Herman","Group","sole_proprietorship","609.258.4722","lschamberger@example.org","902780789","84275 Barton Lodge","Apt. 358","Alfredochester","SD","72885","Cape Verde","Berniece Hudson","ihansen@example.org"
"10","Hudson, Schoen and Pfeffer","Ltd","single_member_llc","1-231-654-0222","nicole17@example.com","397723036","33648 Stephan Alley Apt. 276","Apt. 902","Lake Dillon","MO","99532","Kenya","Ms. Carmen McDermott III","gprohaska@example.net"
"11","Gaylord-Balistreri","LLC","limited_liability_company","1-785-614-8684","jarrell.wehner@example.net","378180316","8527 Mohammed Pike","Suite 210","Nicolasville","NV","36717-7831","Greece","Madaline Barton","charity07@example.net"
"12","Hackett, Tromp and Morissette","Ltd","sole_proprietorship","925-902-4159","johns.laurel@example.net","921545784","1097 Koss Field","Apt. 129","New Winifred","WV","12117","Guadeloupe","Alfonzo O'Conner","antonio82@example.org"
"13","White-Nicolas","Group","single_member_llc","1-989-689-0189","laron.ondricka@example.net","673945471","5709 Faye Glens","Apt. 486","New Rebekastad","MN","67620","Lesotho","Dr. Gina Jacobi MD","obrakus@example.net"
"14","Balistreri-Towne","Ltd","limited_liability_company","(217) 890-9781","maudie80@example.net","824638522","46932 Marta Loaf Apt. 399","Apt. 650","Douglasstad","KY","85692-0987","France","Margarette Cummerata","cielo.moore@example.org"
"15","Veum-Murazik","Inc","single_member_llc","(346) 712-2605","heller.robb@example.com","595662315","380 Brown Corner","Apt. 634","New Melody","OR","27565","Tajikistan","Jesus Crona","jvolkman@example.org"
"16","Bosco-Marquardt","Inc","corporation","(334) 599-4536","carolanne.rempel@example.org","185073077","437 Bettye Extensions","Apt. 740","South Fay","TN","92471-9912","Bosnia and Herzegovina","Dr. Karl Satterfield","brakus.salvatore@example.org"
"17","Turner and Sons","LLC","sole_proprietorship","16575559030","karen79@example.net","645807122","86627 Jeramy Inlet","Suite 798","Koelpinmouth","FL","17452-1740","Cocos (Keeling) Islands","Celine Lang","dennis.rippin@example.net"
"18","Nitzsche-Brekke","LLC","single_member_llc","1-248-533-6298","ffarrell@example.net","901619635","163 Wiza Ranch Apt. 853","Suite 071","North Akeem","AR","58424","Guyana","Tristian Hermann PhD","myrtle23@example.net"
